year,winner,country,time,gender
1974,Günter Hallas,West Germany,2:44:53,male
1975,Ralf Bochröder,West Germany,2:47:08,male
1976,Ingo Sensburg,West Germany,2:23:08,male
1977,Günter Mielke,West Germany,2:15:19,male
1978,Michael Spöttel,West Germany,2:20:03,male
1979,Ingo Sensburg,West Germany,2:21:09,male
1980,Ingo Sensburg,West Germany,2:16:48,male
1981,Ian Ray,United Kingdom,2:15:42,male
1982,Domingo Tibaduiza,Colombia,2:14:47,male
1983,Karel Lismont,Belgium,2:13:37,male
1984,John Skovbjerg,Denmark,2:13:35,male
1985,Jimmy Ashworth,United Kingdom,2:11:43,male
1986,Bogusław Psujek,Poland,2:11:03,male
1987,Suleiman Nyambui,Tanzania,2:11:11,male
1988,Suleiman Nyambui,Tanzania,2:11:45,male
1989,Alfredo Shahanga,Tanzania,2:10:11,male
1990,Steve Moneghetti,Australia,2:08:16,male
1991,Steve Brace,United Kingdom,2:10:57,male
1992,David Tsebe,South Africa,2:08:07,male
1993,Xolile Yawa,South Africa,2:10:57,male
1994,António Pinto,Portugal,2:08:31,male
1995,Sammy Lelei,Kenya,2:07:02,male
1996,Abel Antón,Spain,2:09:15,male
1997,Elijah Lagat,Kenya,2:07:41,male
1998,Ronaldo da Costa,Brazil,2:06:05,male
1999,Josephat Kiprono,Kenya,2:06:44,male
2000,Simon Biwott,Kenya,2:07:42,male
2001,Joseph Ngolepus,Kenya,2:08:47,male
2002,Raymond Kipkoech,Kenya,2:06:47,male
2003,Paul Tergat,Kenya,2:04:55,male
2004,Felix Limo,Kenya,2:06:44,male
2005,Philip Manyim,Kenya,2:07:41,male
2006,Haile Gebrselassie,Ethiopia,2:05:56,male
2007,Haile Gebrselassie,Ethiopia,2:04:26,male
2008,Haile Gebrselassie,Ethiopia,2:03:59,male
2009,Haile Gebrselassie,Ethiopia,2:06:08,male
2010,Patrick Musyoki,Kenya,2:05:08,male
2011,Patrick Musyoki,Kenya,2:03:38,male
2012,Geoffrey Mutai,Kenya,2:04:15,male
2013,Wilson Kipsang,Kenya,2:03:23,male
2014,Dennis Kimetto,Kenya,2:02:57,male
2015,Eliud Kipchoge,Kenya,2:04:00,male
2016,Kenenisa Bekele,Ethiopia,2:03:03,male
2017,Eliud Kipchoge,Kenya,2:03:32,male
2018,Eliud Kipchoge,Kenya,2:01:39,male
2019,Kenenisa Bekele,Ethiopia,2:01:41,male
2021,Guye Adola,Ethiopia,2:05:45,male
2022,Eliud Kipchoge,Kenya,2:01:09,male
2023,Eliud Kipchoge,Kenya,2:02:42,male
2024,Milkesa Mengesha,Ethiopia,2:03:17,male
1974,Jutta von Haase,West Germany,3:22:01,female
1975,Kristin Bochröder,West Germany,2:59:15,female
1976,Jutta von Haase,West Germany,3:05:19,female
1977,Christa Vahlensieck,West Germany,2:34:48,female
1978,Ursula Blaschke,West Germany,2:57:09,female
1979,Jutta von Haase,West Germany,3:07:07,female
1980,Gerlinde Püttmann,West Germany,2:47:18,female
1981,Angelika Stephan,West Germany,2:47:24,female
1982,Jean Lochhead,United Kingdom,2:47:05,female
1983,Karen Holdsworth,United Kingdom,2:40:32,female
1984,Ágnes Sipka,Hungary,2:39:32,female
1985,Magda Ilands,Belgium,2:34:10,female
1986,Charlotte Teske,West Germany,2:32:10,female
1987,Kerstin Preßler,West Germany,2:31:22,female
1988,Renata Kokowska,Poland,2:29:16,female
1989,Päivi Tikkanen,Finland,2:28:45,female
1990,Uta Pippig,East Germany,2:28:37,female
1991,Renata Kokowska,Poland,2:27:36,female
1992,Uta Pippig,Germany,2:30:22,female
1993,Renata Kokowska,Poland,2:26:20,female
1994,Katrin Dörre-Heinig,Germany,2:25:15,female
1995,Uta Pippig,Germany,2:25:37,female
1996,Colleen De Reuck,South Africa,2:26:35,female
1997,Catherina McKiernan,Ireland,2:23:44,female
1998,Marleen Renders,Belgium,2:25:22,female
1999,Tegla Loroupe,Kenya,2:20:43,female
2000,Kazumi Matsuo,Japan,2:26:15,female
2001,Naoko Takahashi,Japan,2:19:46,female
2002,Naoko Takahashi,Japan,2:21:49,female
2003,Yasuko Hashimoto,Japan,2:26:32,female
2004,Yoko Shibui,Japan,2:19:41,female
2005,Mizuki Noguchi,Japan,2:19:12,female
2006,Gete Wami,Ethiopia,2:21:34,female
2007,Gete Wami,Ethiopia,2:23:17,female
2008,Irina Mikitenko,Germany,2:19:19,female
2009,Atsede Habtamu,Ethiopia,2:24:47,female
2010,Aberu Kebede,Ethiopia,2:23:58,female
2011,Florence Kiplagat,Kenya,2:19:44,female
2012,Aberu Kebede,Ethiopia,2:20:30,female
2013,Florence Kiplagat,Kenya,2:21:13,female
2014,Tirfi Tsegaye,Ethiopia,2:20:18,female
2015,Gladys Cherono,Kenya,2:19:25,female
2016,Aberu Kebede,Ethiopia,2:20:45,female
2017,Gladys Cherono,Kenya,2:20:23,female
2018,Gladys Cherono,Kenya,2:18:11,female
2019,Ashete Bekere,Ethiopia,2:20:14,female
2021,Gotytom Gebreslase,Ethiopia,2:20:09,female
2022,Tigst Assefa,Ethiopia,2:15:37,female
2023,Tigst Assefa,Ethiopia,2:11:53,female
2024,Tigist Ketema,Ethiopia,2:16:42,female
